data,category
"Most bowlers are considered specialists in that they are selected for the team because of their skill as a bowler, although some are all-rounders and even specialist batsmen bowl occasionally.",sports
 The specialists bowl several times during an innings but may not bowl two overs consecutively.,sports
" If the captain wants a bowler to ""change ends"", another bowler must temporarily fill in so that the change is not immediate.",sports
"A bowler reaches his delivery stride by means of a ""run-up"" and an over is deemed to have begun when the bowler starts his run-up for the first delivery of that over, the ball then being ""in play"".",sports
" Fast bowlers, needing momentum, take a lengthy run up while bowlers with a slow delivery take no more than a couple of steps before bowling.",sports
" The fastest bowlers can deliver the ball at a speed of over 145 kilometres per hour (90 mph) and they sometimes rely on sheer speed to try to defeat the batsman, who is forced to react very quickly.",sports
 Other fast bowlers rely on a mixture of speed and guile by making the ball seam or swing (i.,sports
" This type of delivery can deceive a batsman into miscuing his shot, for example, so that the ball just touches the edge of the bat and can then be ""caught behind"" by the wicket-keeper or a slip fielder.",sports
 At the other end of the bowling scale is the spin bowler who bowls at a relatively slow pace and relies entirely on guile to deceive the batsman.,sports
" A spinner will often ""buy his wicket"" by ""tossing one up"" (in a slower, steeper parabolic path) to lure the batsman into making a poor shot.",sports
" The batsman has to be very wary of such deliveries as they are often ""flighted"" or spun so that the ball will not behave quite as he expects and he could be ""trapped"" into getting himself out.",sports
 In between the pacemen and the spinners are the medium paced seamers who rely on persistent accuracy to try to contain the rate of scoring and wear down the batsman's concentration.,sports
There are ten ways in which a batsman can be dismissed: five relatively common and five extremely rare.,sports
" The common forms of dismissal are bowled, caught, leg before wicket (lbw), run out and stumped.",sports
" Rare methods are hit wicket, hit the ball twice, obstructing the field, handled the ball and timed out.",sports
" The Laws state that the fielding team, usually the bowler in practice, must appeal for a dismissal before the umpire can give his decision.",sports
" If the batsman is out, the umpire raises a forefinger and says ""Out!""; otherwise, he will shake his head and say ""Not out"".",sports
" There is, effectively, an eleventh method of dismissal, retired out, which is not an on-field dismissal as such but rather a retrospective one for which no fielder is credited.",sports
"Batsmen take turns to bat via a batting order which is decided beforehand by the team captain and presented to the umpires, though the order remains flexible when the captain officially nominates the team.",sports
" Substitute batsmen are generally not allowed, except in the case of concussion substitutes in international cricket.",sports
In order to begin batting the batsman first adopts a batting stance.,sports
" Standardly, this involves adopting a slight crouch with the feet pointing across the front of the wicket, looking in the direction of the bowler, and holding the bat so it passes over the feet and so its tip can rest on the ground near to the toes of the back foot.",sports
"A skilled batsman can use a wide array of ""shots"" or ""strokes"" in both defensive and attacking mode.",sports
 The idea is to hit the ball to the best effect with the flat surface of the bat's blade.,sports
" If the ball touches the side of the bat it is called an ""edge"".",sports
 The batsman does not have to play a shot and can allow the ball to go through to the wicketkeeper.,sports
" Equally, he does not have to attempt a run when he hits the ball with his bat.",sports
" Batsmen do not always seek to hit the ball as hard as possible, and a good player can score runs just by making a deft stroke with a turn of the wrists or by simply ""blocking"" the ball but directing it away from fielders so that he has time to take a run.",sports
" A wide variety of shots are played, the batsman's repertoire including strokes named according to the style of swing and the direction aimed: e.",sports
" the ""striker"") must prevent the ball hitting the wicket, and try to score runs by hitting the ball with his bat so that he and his partner have time to run from one end of the pitch to the other before the fielding side can return the ball.",sports
" To register a run, both runners must touch the ground behind the popping crease with either their bats or their bodies (the batsmen carry their bats as they run).",sports
 Each completed run increments the score of both the team and the striker.,sports
"The decision to attempt a run is ideally made by the batsman who has the better view of the ball's progress, and this is communicated by calling: usually ""yes"", ""no"" or ""wait"".",sports
" More than one run can be scored from a single hit: hits worth one to three runs are common, but the size of the field is such that it is usually difficult to run four or more.",sports
" To compensate for this, hits that reach the boundary of the field are automatically awarded four runs if the ball touches the ground en route to the boundary or six runs if the ball clears the boundary without touching the ground within the boundary.",sports
" Hits for five are unusual and generally rely on the help of ""overthrows"" by a fielder returning the ball.",sports
" If an odd number of runs is scored by the striker, the two batsmen have changed ends, and the one who was non-striker is now the striker.",sports
" Only the striker can score individual runs, but all runs are added to the team's total.",sports
"Additional runs can be gained by the batting team as extras (called ""sundries"" in Australia) due to errors made by the fielding side.",sports
" This is achieved in four ways: no-ball, a penalty of one extra conceded by the bowler if he breaks the rules; wide, a penalty of one extra conceded by the bowler if he bowls so that the ball is out of the batsman's reach; bye, an extra awarded if the batsman misses the ball and it goes past the wicket-keeper and gives the batsmen time to run in the conventional way; leg bye, as for a bye except that the ball has hit the batsman's body, though not his bat.",sports
" If the bowler has conceded a no-ball or a wide, his team incurs an additional penalty because that ball (i.",sports
", delivery) has to be bowled again and hence the batting side has the opportunity to score more runs from this extra ball.",sports
"The captain is often the most experienced player in the team, certainly the most tactically astute, and can possess any of the main skillsets as a batsman, a bowler or a wicket-keeper.",sports
" Within the Laws, the captain has certain responsibilities in terms of nominating his players to the umpires before the match and ensuring that his players conduct themselves ""within the spirit and traditions of the game as well as within the Laws"".",sports
"The wicket-keeper (sometimes called simply the ""keeper"") is a specialist fielder subject to various rules within the Laws about his equipment and demeanour.",sports
 He is the only member of the fielding side who can effect a stumping and is the only one permitted to wear gloves and external leg guards.,sports
" Depending on their primary skills, the other ten players in the team tend to be classified as specialist batsmen or specialist bowlers.",sports
" Generally, a team will include five or six specialist batsmen and four or five specialist bowlers, plus the wicket-keeper.",sports
"The game on the field is regulated by the two umpires, one of whom stands behind the wicket at the bowler's end, the other in a position called ""square leg"" which is about 15–20 metres away from the batsman on strike and in line with the popping crease on which he is taking guard.",sports
 The umpires have several responsibilities including adjudication on whether a ball has been correctly bowled (i.,sports
", not a no-ball or a wide); when a run is scored; whether a batsman is out (the fielding side must first appeal to the umpire, usually with the phrase ""How's that?"" or ""Owzat?""); when intervals start and end; and the suitability of the pitch, field and weather for playing the game.",sports
" The umpires are authorised to interrupt or even abandon a match due to circumstances likely to endanger the players, such as a damp pitch or deterioration of the light.",sports
"Off the field in televised matches, there is usually a third umpire who can make decisions on certain incidents with the aid of video evidence.",sports
 The third umpire is mandatory under the playing conditions for Test and Limited Overs International matches played between two ICC full member countries.,sports
 These matches also have a match referee whose job is to ensure that play is within the Laws and the spirit of the game.,sports
"The match details, including runs and dismissals, are recorded by two official scorers, one representing each team.",sports
" The scorers are directed by the hand signals of an umpire (see image, right).",sports
" For example, the umpire raises a forefinger to signal that the batsman is out (has been dismissed); he raises both arms above his head if the batsman has hit the ball for six runs.",sports
" The scorers are required by the Laws to record all runs scored, wickets taken and overs bowled; in practice, they also note significant amounts of additional data relating to the game.",sports
" Prior to the popularisation of scorecards, most scoring was done by men sitting on vantage points cuttings notches on tally sticks and runs were originally called notches.",sports
" According to Rowland Bowen, the earliest known scorecard templates were introduced in 1776 by T.",sports
 It is believed that scorecards were printed and sold at Lord's for the first time in 1846.,sports
"Besides observing the Laws, cricketers must respect the ""Spirit of Cricket"", a concept encompassing sportsmanship, fair play and mutual respect.",sports
 This spirit has long been considered an integral part of the sport but is only nebulously defined.,sports
" Amidst concern that the spirit was weakening, in 2000 a Preamble was added to the Laws instructing all participants to play within the spirit of the game.",sports
" The Preamble was last updated in 2017, now opening with the line:
",sports
"""Cricket owes much of its appeal and enjoyment to the fact that it should be played not only
",sports
"according to the Laws, but also within the Spirit of Cricket"".",sports
"The Preamble is a short statement intended to emphasise the ""positive behaviours that make cricket an exciting game that encourages leadership, friendship, and teamwork.",sports
""" Its second line states that ""the major responsibility for ensuring fair play rests with the captains, but extends to all
",sports
"players, match officials and, especially in junior cricket, teachers, coaches and parents.",sports
 They are required under the Laws to intervene in case of dangerous or unfair play or in cases of unacceptable conduct by a player.,sports
"Previous versions of the Spirit identified actions that were deemed contrary (for example, appealing knowing that the batsman is not out) but all specifics are now covered in the Laws of Cricket, the relevant governing playing regulations and disciplinary codes, or left to the judgement of the umpires, captains, their clubs and governing bodies.",sports
 The terse expression of the Spirit of Cricket now avoids the diversity of cultural conventions that exist in the detail of sportsmanship – or its absence.,sports
 International development began at the start of the 20th century and the first Test Match was played between Australia and England in December 1934.,sports
" The following year, New Zealand women joined them, and in 2007 Netherlands women became the tenth women's Test nation when they made their debut against South Africa women.",sports
" In 1958, the International Women's Cricket Council was founded (it merged with the ICC in 2005).",sports
" In 1973, the first Cricket World Cup of any kind took place when a Women's World Cup was held in England.",sports
"  In 2005, the International Women's Cricket Council was merged with the International Cricket Council (ICC) to form one unified body to help manage and develop cricket.",sports
 The ICC Women's Rankings were launched on 1 October 2015 covering all three formats of women's cricket.,sports
" In October 2018 following the ICC's decision to award T20 International status to all members, the Women's rankings were split into separate ODI (for Full Members) and T20I lists.",sports
"The International Cricket Council (ICC), which has its headquarters in Dubai, is the global governing body of cricket.",sports
" It was founded as the Imperial Cricket Conference in 1909 by representatives from England, Australia and South Africa, renamed the International Cricket Conference in 1965 and took up its current name in 1989.",sports
" The ICC in 2017 has 105 member nations, twelve of which hold full membership and can play Test cricket.",sports
" The ICC is responsible for the organisation and governance of cricket's major international tournaments, notably the men's and women's versions of the Cricket World Cup.",sports
" It also appoints the umpires and referees that officiate at all sanctioned Test matches, Limited Overs Internationals and Twenty20 Internationals.",sports
"Each member nation has a national cricket board which regulates cricket matches played in its country, selects the national squad, and organises home and away tours for the national team.",sports
" In the West Indies, which for cricket purposes is a federation of nations, these matters are addressed by Cricket West Indies.",sports
"The table below lists the ICC full members and their national cricket boards:
",sports
"Cricket is a multi-faceted sport with multiple formats that can effectively be divided into first-class cricket, limited overs cricket and, historically, single wicket cricket.",sports
" The highest standard is Test cricket (always written with a capital ""T"") which is in effect the international version of first-class cricket and is restricted to teams representing the twelve countries that are full members of the ICC (see above).",sports
" Although the term ""Test match"" was not coined until much later, Test cricket is deemed to have begun with two matches between Australia and England in the 1876–77 Australian season; since 1882, most Test series between England and Australia have been played for a trophy known as The Ashes.",sports
" The term ""first-class"", in general usage, is applied to top-level domestic cricket.",sports
" Test matches are played over five days and first-class over three to four days; in all of these matches, the teams are allotted two innings each and the draw is a valid result.",sports
"Limited overs cricket is always scheduled for completion in a single day, and the teams are allotted one innings each.",sports
 There are two types: List A which normally allows fifty overs per team; and Twenty20 in which the teams have twenty overs each.,sports
 Both of the limited overs forms are played internationally as Limited Overs Internationals (LOI) and Twenty20 Internationals (T20I).,sports
 List A was introduced in England in the 1963 season as a knockout cup contested by the first-class county clubs.,sports
 The concept was gradually introduced to the other leading cricket countries and the first limited overs international was played in 1971.,sports
" In 1975, the first Cricket World Cup took place in England.",sports
" Twenty20 is a new variant of limited overs itself with the purpose being to complete the match within about three hours, usually in an evening session.",sports
" Limited overs matches cannot be drawn, although a tie is possible and an unfinished match is a ""no result"".",sports
Single wicket was popular in the 18th and 19th centuries and its matches were generally considered top-class.,sports
" In this form, although each team may have from one to six players, there is only one batsman in at a time and he must face every delivery bowled while his innings lasts.",sports
 Single wicket has rarely been played since limited overs cricket began.,sports
 Matches tended to have two innings per team like a full first-class one and they could end in a draw.,sports
Cricket is played at both the international and domestic level.,sports
" There is one major international championship per format, and top-level domestic competitions mirror the three main international formats.",sports
" There are now a number of T20 leagues, which have spawned a ""T20 freelancer"" phenomenon.",sports
"Most international matches are played as parts of 'tours', when one nation travels to another for a number of weeks or months, and plays a number of matches of various sorts against the host nation.",sports
" Sometimes a perpetual trophy is awarded to the winner of the Test series, the most famous of which is The Ashes.",sports
"The ICC also organises competitions that are for several countries at once, including the Cricket World Cup, ICC T20 World Cup and ICC Champions Trophy.",sports
" A league competition for Test matches played as part of normal tours, the ICC World Test Championship, had been proposed several times, and its first instance began in 2019.",sports
" A league competition for ODIs, the ICC Cricket World Cup Super League, began in August 2020.",sports
" The ICC maintains Test rankings, ODI rankings and T20 rankings systems for the countries which play these forms of cricket.",sports
"Competitions for member nations of the ICC with Associate status include the ICC Intercontinental Cup, for first-class cricket matches, and the World Cricket League for one-day matches, the final matches of which now also serve as the ICC World Cup Qualifier.",sports
First-class cricket in England is played for the most part by the 18 county clubs which contest the County Championship.,sports
 The concept of a champion county has existed since the 18th century but the official competition was not established until 1890.,sports
" The most successful club has been Yorkshire, who had won 32 official titles (plus one shared) as of 2019.",sports
Australia established its national first-class championship in 1892–93 when the Sheffield Shield was introduced.,sports
" In Australia, the first-class teams represent the various states.",sports
The other ICC full members have national championship trophies called the Ahmad Shah Abdali 4-day Tournament (Afghanistan); the National Cricket League (Bangladesh); the Ranji Trophy (India); the Inter-Provincial Championship (Ireland); the Plunket Shield (New Zealand); the Quaid-e-Azam Trophy (Pakistan); the Currie Cup (South Africa); the Premier Trophy (Sri Lanka); the Shell Shield (West Indies); and the Logan Cup (Zimbabwe).,sports
"The world's earliest known cricket match was a village cricket meeting in Kent which has been deduced from a 1640 court case recording a ""cricketing"" of ""the Weald and the Upland"" versus ""the Chalk Hill"" at Chevening ""about thirty years since"" (i.",sports
 Inter-parish contests became popular in the first half of the 17th century and continued to develop through the 18th with the first local leagues being founded in the second half of the 19th.,sports
"At the grassroots level, local club cricket is essentially an amateur pastime for those involved but still usually involves teams playing in competitions at weekends or in the evening.",sports
" Schools cricket, first known in southern England in the 17th century, has a similar scenario and both are widely played in the countries where cricket is popular.",sports
" Although there can be variations in game format, compared with professional cricket, the Laws are always observed and club/school matches are therefore formal and competitive events.",sports
 The sport has numerous informal variants such as French cricket.,sports
"Cricket has had a broad impact on popular culture, both in the Commonwealth of Nations and elsewhere.",sports
" It has, for example, influenced the lexicon of these nations, especially the English language, with various phrases such as ""that's not cricket"" (that's unfair), ""had a good innings"" (lived a long life) and ""sticky wicket"".",sports
" ""On a sticky wicket"" (aka ""sticky dog"" or ""glue pot"") is a metaphor used to describe a difficult circumstance.",sports
" It originated as a term for difficult batting conditions in cricket, caused by a damp and soft pitch.",sports
"Cricket is the subject of works by noted English poets, including William Blake and Lord Byron.",sports
" James, is often named the best book on any sport ever written.",sports
"In the visual arts, notable cricket paintings include Albert Chevallier Tayler's Kent vs Lancashire at Canterbury (1907) and Russell Drysdale's The Cricketers (1948), which has been called ""possibly the most famous Australian painting of the 20th century.",sports
""" French impressionist Camille Pissarro painted cricket on a visit to England in the 1890s.",sports
" Francis Bacon, an avid cricket fan, captured a batsman in motion.",sports
" Caribbean artist Wendy Nanan's cricket images are featured in a limited edition first day cover for Royal Mail's ""World of Invention"" stamp issue, which celebrated the London Cricket Conference 1–3 March 2007, first international workshop of its kind and part of the celebrations leading up to the 2007 Cricket World Cup.",sports
Cricket has close historical ties with Australian rules football and many players have competed at top levels in both sports.,sports
" In 1858, prominent Australian cricketer Tom Wills called for the formation of a ""foot-ball club"" with ""a code of laws"" to keep cricketers fit during the off-season.",sports
" The Melbourne Football Club was founded the following year, and Wills and three other members codified the first laws of the game.",sports
"In England, a number of association football clubs owe their origins to cricketers who sought to play football as a means of keeping fit during the winter months.",sports
 Derby County was founded as a branch of the Derbyshire County Cricket Club in 1884; Aston Villa (1874) and Everton (1876) were both founded by members of church cricket teams.,sports
" Sheffield United's Bramall Lane ground was, from 1854, the home of the Sheffield Cricket Club, and then of Yorkshire; it was not used for football until 1862 and was shared by Yorkshire and Sheffield United from 1889 to 1973.",sports
"In the late 19th century, a former cricketer, English-born Henry Chadwick of Brooklyn, New York, was credited with devising the baseball box score (which he adapted from the cricket scorecard) for reporting game events.",sports
 The first box score appeared in an 1859 issue of the Clipper.,sports
" The statistical record is so central to the game's ""historical essence"" that Chadwick is sometimes referred to as ""the Father of Baseball"" because he facilitated the popularity of the sport in its early days.",sports
 A Corner of a Foreign Field: The Indian History of a British Sport.,sports
"What Is Cricket? Get to know the sport: a video produced by the International Cricket CouncilNews and other resources
",sports
"Football is a family of team sports that involve, to varying degrees, kicking a ball to score a goal.",sports
"  Unqualified, the word football normally means the form of football that is the most popular where the word is used.",sports
 Sports commonly called football include association football (known as soccer in some countries); gridiron football (specifically American football or Canadian football); Australian rules football; rugby football (either rugby union or rugby league); and Gaelic football.,sports
 These various forms of football share to varying extent common origins and are known as football codes.,sports
"There are a number of references to traditional, ancient, or prehistoric ball games played in many different parts of the world.",sports
 Contemporary codes of football can be traced back to the codification of these games at English public schools during the 19th century.,sports
 The expansion and cultural influence of the British Empire allowed these rules of football to spread to areas of British influence outside the directly controlled Empire.,sports
"  By the end of the 19th century, distinct regional codes were already developing: Gaelic football, for example, deliberately incorporated the rules of local traditional football games in order to maintain their heritage.",sports
"  In 1888, The Football League was founded in England, becoming the first of many professional football competitions.",sports
" During the 20th century, several of the various kinds of football grew to become some of the most popular team sports in the world.",sports
"The various codes of football share certain common elements and can be grouped into two main classes of football: carrying codes like American football, Canadian football, Australian football, rugby union and rugby league, where the ball is moved about the field while being held in the hands or thrown, and kicking codes such as Association football and Gaelic football, where the ball is moved primarily with the feet, and where handling is strictly limited.",sports
Two teams of usually between 11 and 18 players; some variations that have fewer players (five or more per team) are also popular.,sports
"Scoring goals or points by moving the ball to an opposing team's end of the field and either into a goal area, or over a line.",sports
Goals or points resulting from players putting the ball between two goalposts.,sports
"In all codes, common skills include passing, tackling, evasion of tackles, catching and kicking.",sports
" In most codes, there are rules restricting the movement of players offside, and players scoring a goal must put the ball either under or over a crossbar between the goalposts.",sports
"There are conflicting explanations of the origin of the word ""football"".",sports
"  It is widely assumed that the word ""football"" (or the phrase ""foot ball"") refers to the action of the foot kicking a ball.",sports
"  There is an alternative explanation, which is that football originally referred to a variety of games in medieval Europe, which were played on foot.",sports
"The Chinese competitive game cuju (蹴鞠) resembles modern association football (soccer), descriptions appear in a military manual dated to the second and third centuries BC.",sports
"  It existed during the Han dynasty and possibly the Qin dynasty, in the second and third centuries BC.",sports
"  The Japanese version of cuju is kemari (蹴鞠), and was developed during the Asuka period.",sports
 This is known to have been played within the Japanese imperial court in Kyoto from about 600 AD.,sports
" In kemari several people stand in a circle and kick a ball to each other, trying not to let the ball drop to the ground (much like keepie uppie).",sports
"The Ancient Greeks and Romans are known to have played many ball games, some of which involved the use of the feet.",sports
" The Roman game harpastum is believed to have been adapted from a Greek team game known as ""ἐπίσκυρος"" (Episkyros) or ""φαινίνδα"" (phaininda), which is mentioned by a Greek playwright, Antiphanes (388–311 BC) and later referred to by the Christian theologian Clement of Alexandria (c.",sports
 The Roman politician Cicero (106–43 BC) describes the case of a man who was killed whilst having a shave when a ball was kicked into a barber's shop.,sports
" Roman ball games already knew the air-filled ball, the follis.",sports
 Episkyros is recognised as an early form of football by FIFA.,sports
"There are a number of references to traditional, ancient, or prehistoric ball games, played by indigenous peoples in many different parts of the world.",sports
" For example, in 1586, men from a ship commanded by an English explorer named John Davis, went ashore to play a form of football with Inuit (Eskimo) people in Greenland.",sports
" There are later accounts of an Inuit game played on ice, called Aqsaqtuk.",sports
" Each match began with two teams facing each other in parallel lines, before attempting to kick the ball through each other team's line and then at a goal.",sports
" In 1610, William Strachey, a colonist at Jamestown, Virginia recorded a game played by Native Americans, called Pahsaheman.",sports
" Pasuckuakohowog, a game similar to modern-day association football played amongst Amerindians, was also reported as early as the 17th century.",sports
"Games played in Mesoamerica with rubber balls by indigenous peoples are also well-documented as existing since before this time, but these had more similarities to basketball or volleyball, and no links have been found between such games and modern football sports.",sports
" Northeastern American Indians, especially the Iroquois Confederation, played a game which made use of net racquets to throw and catch a small ball; however, although it is a ball-goal foot game, lacrosse (as its modern descendant is called) is likewise not usually classed as a form of ""football.",sports
"On the Australian continent several tribes of indigenous people played kicking and catching games with stuffed balls which have been generalised by historians as Marn Grook (Djab Wurrung for ""game ball"").",sports
" The earliest historical account is an anecdote from the 1878 book by Robert Brough-Smyth, The Aborigines of Victoria, in which a man called Richard Thomas is quoted as saying, in about 1841 in Victoria, Australia, that he had witnessed Aboriginal people playing the game: ""Mr Thomas describes how the foremost player will drop kick a ball made from the skin of a possum and how other players leap into the air in order to catch it.",sports
""" Some historians have theorised that Marn Grook was one of the origins of Australian rules football.",sports
"The Māori in New Zealand played a game called Ki-o-rahi consisting of teams of seven players play on a circular field divided into zones, and score points by touching the 'pou' (boundary markers) and hitting a central 'tupu' or target.",sports
" However, the main sources of modern football codes appear to lie in western Europe, especially England.",sports
"Mahmud al-Kashgari in his Dīwān Lughāt al-Turk, described a game called ""tepuk"" among Turks in Central Asia.",sports
" In the game, people try to attack each other's castle by kicking a ball made of sheep leather.",sports
"The Middle Ages saw a huge rise in popularity of annual Shrovetide football matches throughout Europe, particularly in England.",sports
" An early reference to a ball game played in Britain comes from the 9th century Historia Brittonum, which describes ""a party of boys .",sports
" References to a ball game played in northern France known as La Soule or Choule, in which the ball was propelled by hands, feet, and sticks, date from the 12th century.",sports
"The early forms of football played in England, sometimes referred to as ""mob football"", would be played in towns or between neighbouring villages, involving an unlimited number of players on opposing teams who would clash en masse, struggling to move an item, such as inflated animal's bladder to particular geographical points, such as their opponents' church, with play taking place in the open space between neighbouring parishes.",sports
" The game was played primarily during significant religious festivals, such as Shrovetide, Christmas, or Easter, and Shrovetide games have survived into the modern era in a number of English towns (see below).",sports
The first detailed description of what was almost certainly football in England was given by William FitzStephen in about 1174–1183.,sports
" He described the activities of London youths during the annual festival of Shrove Tuesday:
",sports
After lunch all the youth of the city go out into the fields to take part in a ball game.,sports
 The students of each school have their own ball; the workers from each city craft are also carrying their balls.,sports
" Older citizens, fathers, and wealthy citizens come on horseback to watch their juniors competing, and to relive their own youth vicariously: you can see their inner passions aroused as they watch the action and get caught up in the fun being had by the carefree adolescents.",sports
"Most of the very early references to the game speak simply of ""ball play"" or ""playing at ball"".",sports
 This reinforces the idea that the games played at the time did not necessarily involve a ball being kicked.,sports
"An early reference to a ball game that was probably football comes from 1280 at Ulgham, Northumberland, England:  ""Henry.",sports
"  Football was played in Ireland in 1308, with a documented reference to John McCrocan, a spectator at a ""football game"" at Newcastle, County Down being charged with accidentally stabbing a player named William Bernard.",sports
"  Another reference to a football game comes in 1321 at Shouldham, Norfolk, England: ""[d]uring the game at ball as he kicked the ball, a lay friend of his.",sports
"In 1314, Nicholas de Farndone, Lord Mayor of the City of London issued a decree banning football in the French used by the English upper classes at the time.",sports
" A translation reads: ""[f]orasmuch as there is great noise in the city caused by hustling over large foot balls [rageries de grosses pelotes de pee] in the fields of the public from which many evils might arise which God forbid: we command and forbid on behalf of the king, on pain of imprisonment, such game to be used in the city in the future.",sports
"In 1363, King Edward III of England issued a proclamation banning "".",sports
"handball, football, or hockey; coursing and cock-fighting, or other such idle games"", showing that ""football"" – whatever its exact form in this case – was being differentiated from games involving other parts of the body, such as handball.",sports
"A game known as ""football"" was played in Scotland as early as the 15th century: it was prohibited by the Football Act 1424 and although the law fell into disuse it was not repealed until 1906.",sports
" There is evidence for schoolboys playing a ""football"" ball game in Aberdeen in 1633 (some references cite 1636) which is notable as an early allusion to what some have considered to be passing the ball.",sports
" The word ""pass"" in the most recent translation is derived from ""huc percute"" (strike it here) and later ""repercute pilam"" (strike the ball again) in the original Latin.",sports
 It is not certain that the ball was being struck between members of the same team.,sports
" The original word translated as ""goal"" is ""metum"", literally meaning the ""pillar at each end of the circus course"" in a Roman chariot race.",sports
" There is a reference to ""get hold of the ball before [another player] does"" (Praeripe illi pilam si possis agere) suggesting that handling of the ball was allowed.",sports
" One sentence states in the original 1930 translation ""Throw yourself against him"" (Age, objice te illi).",sports
"King Henry IV of England also presented one of the earliest documented uses of the English word ""football"", in 1409, when he issued a proclamation forbidding the levying of money for ""foteball"".",sports
"There is also an account in Latin from the end of the 15th century of football being played at Caunton, Nottinghamshire.",sports
" This is the first description of a ""kicking game"" and the first description of dribbling: ""[t]he game at which they had met for common recreation is called by some the foot-ball game.",sports
" It is one in which young men, in country sport, propel a huge ball not by throwing it into the air but by striking it and rolling it along the ground, and that not with their hands but with their feet.",sports
" kicking in opposite directions"" The chronicler gives the earliest reference to a football pitch, stating that: ""[t]he boundaries have been marked and the game had started.",sports
"""a football"", in the sense of a ball rather than a game, was first mentioned in 1486.",sports
 This reference is in Dame Juliana Berners' Book of St Albans.,sports
"it is an instrument for the foote and then it is calde in Latyn 'pila pedalis', a fotebal.",sports
a pair of football boots were ordered by King Henry VIII of England in 1526.,sports
"women playing a form of football was first described in 1580 by Sir Philip Sidney in one of his poems: ""[a] tyme there is for all, my mother often sayes, When she, with skirts tuckt very hy, with girles at football playes.",sports
the first references to goals are in the late 16th and early 17th centuries.,sports
" In 1584 and 1602 respectively, John Norden and Richard Carew referred to ""goals"" in Cornish hurling.",sports
" Carew described how goals were made: ""they pitch two bushes in the ground, some eight or ten foote asunder; and directly against them, ten or twelue [twelve] score off, other twayne in like distance, which they terme their Goales"".",sports
 He is also the first to describe goalkeepers and passing of the ball between players.,sports
"the first direct reference to scoring a goal is in John Day's play The Blind Beggar of Bethnal Green (performed circa 1600; published 1659): ""I'll play a gole at camp-ball"" (an extremely violent variety of football, which was popular in East Anglia).",sports
" Similarly in a poem in 1613, Michael Drayton refers to ""when the Ball to throw, And drive it to the Gole, in squadrons forth they goe"".",sports
"In the 16th century, the city of Florence celebrated the period between Epiphany and Lent by playing a game which today is known as ""calcio storico"" (""historic kickball"") in the Piazza Santa Croce.",sports
 The young aristocrats of the city would dress up in fine silk costumes and embroil themselves in a violent form of football.,sports
" For example, calcio players could punch, shoulder charge, and kick opponents.",sports
 The game is said to have originated as a military training exercise.,sports
" In 1580, Count Giovanni de' Bardi di Vernio wrote Discorso sopra 'l giuoco del Calcio Fiorentino.",sports
 This is sometimes said to be the earliest code of rules for any football game.,sports
 The game was not played after January 1739 (until it was revived in May 1930).,sports
"There have been many attempts to ban football, from the middle ages through to the modern day.",sports
 The first such law was passed in England in 1314; it was followed by more than 30 in England alone between 1314 and 1667.,sports
" Women were banned from playing at English and Scottish Football League grounds in 1921, a ban that was only lifted in the 1970s.",sports
 Female footballers still face similar problems in some parts of the world.,sports
"  The game played in the 19th century resembled mob football that developed in medieval Europe, including a version popular on university campuses known as Old division football, and several municipalities banned its play in the mid-19th century.",sports
" By the 20th century, the game had evolved to a more rugby style game.",sports
"  In 1905, there were calls to ban American football in the U.",sports
 due to its violence; a meeting that year was hosted by American president Theodore Roosevelt led to sweeping rules changes that caused the sport to diverge significantly from its rugby roots to become more like the sport as it is played today.,sports
"While football continued to be played in various forms throughout Britain, its public schools (equivalent to private schools in other countries) are widely credited with four key achievements in the creation of modern football codes.",sports
" First of all, the evidence suggests that they were important in taking football away from its ""mob"" form and turning it into an organised team sport.",sports
" Second, many early descriptions of football and references to it were recorded by people who had studied at these schools.",sports
" Third, it was teachers, students, and former students from these schools who first codified football games, to enable matches to be played between schools.",sports
" Finally, it was at English public schools that the division between ""kicking"" and ""running"" (or ""carrying"") games first became clear.",sports
"The earliest evidence that games resembling football were being played at English public schools – mainly attended by boys from the upper, upper-middle and professional classes – comes from the Vulgaria by William Herman in 1519.",sports
" Herman had been headmaster at Eton and Winchester colleges and his Latin textbook includes a translation exercise with the phrase ""We wyll playe with a ball full of wynde"".",sports
"Richard Mulcaster, a student at Eton College in the early 16th century and later headmaster at other English schools, has been described as ""the greatest sixteenth Century advocate of football"".",sports
 Among his contributions are the earliest evidence of organised team football.,sports
" Mulcaster's writings refer to teams (""sides"" and ""parties""), positions (""standings""), a referee (""judge over the parties"") and a coach ""(trayning maister)"".",sports
" Mulcaster's ""footeball"" had evolved from the disordered and violent forms of traditional football:
",sports
"[s]ome smaller number with such overlooking, sorted into sides and standings, not meeting with their bodies so boisterously to trie their strength: nor shouldring or shuffing one an other so barbarously .",sports
" may use footeball for as much good to the body, by the chiefe use of the legges.",sports
"In 1633, David Wedderburn, a teacher from Aberdeen, mentioned elements of modern football games in a short Latin textbook called Vocabula.",sports
" Wedderburn refers to what has been translated into modern English as ""keeping goal"" and makes an allusion to passing the ball (""strike it here"").",sports
" There is a reference to ""get hold of the ball"", suggesting that some handling was allowed.",sports
" It is clear that the tackles allowed included the charging and holding of opposing players (""drive that man back"").",sports
"A more detailed description of football is given in Francis Willughby's Book of Games, written in about 1660.",sports
